stony brook,74,-110,+12,20131117,26,away
indiana,90,-110,-12,20131117,26,home
robert morris,49,-110,+21,20131117,27,away
kentucky,87,-110,-21,20131117,27,home
st francis (ny),50,-110,+20,20131118,1,away
syracuse,56,-110,-20,20131118,1,home
southern,53,-110,+21,20131118,2,away
florida,67,-110,-21,20131118,2,home
wagner,102,-110,-1.5,20131118,3,away
coppin st,87,-110,+1.5,20131118,3,home
lipscomb,75,\N,\N,20131118,4,away
tennessee st,70,-110,-2.5,20131118,4,home
cleveland st,69,-110,+2,20131118,5,away
eastern michigan,81,-110,-2,20131118,5,home
miami-florida,70,\N,\N,20131118,6,away
charleston,54,-110,-1.5,20131118,6,home
southern methodist,78,-110,+5.5,20131118,7,away
arkansas,89,-110,-5.5,20131118,7,home
portland,67,-110,+23,20131118,8,away
michigan st,82,-110,-23,20131118,8,home
arkansas st,70,\N,\N,20131118,9,away
colorado,93,-110,-17,20131118,9,home
drexel,71,-110,-4.5,20131118,10,away
elon university,64,\N,\N,20131118,10,home
canisius,51,\N,\N,20131118,11,away
rutgers,66,\N,\N,20131118,11,home
mcneese st,70,-110,+17,20131118,12,away
georgia st,96,\N,\N,20131118,12,home
metro state,63,\N,\N,20131118,13,away
rhode island,66,\N,\N,20131118,13,home
citadel,60,-110,+27,20131118,14,away
tennessee,86,-110,-27,20131118,14,home
se missouri st,83,-110,-1.5,20131118,15,away
ball st,87,-110,+1.5,20131118,15,home
monmouth-nj,\N,-110,+19.5,20131118,16,away
seton hall,\N,-110,-19.5,20131118,16,home
southern miss,70,\N,\N,20131118,17,away
north dakota state,69,-110,-6,20131118,17,home
samford,52,\N,\N,20131118,18,away
louisiana-monroe,86,\N,\N,20131118,18,home
idaho state,93,-110,+16,20131118,19,away
san francisco,90,-110,-16,20131118,19,home
vermont,49,-110,+13,20131118,20,away
providence,70,-110,-13,20131118,20,home
texas southern,71,-110,+7,20131118,21,away
texas tech,80,\N,\N,20131118,21,home
st francis (pa),46,-110,+14.5,20131119,1,away
george mason,58,-110,-14.5,20131119,1,home
utah valley,54,-110,+25.5,20131119,2,away
oregon,69,-110,-25.5,20131119,2,home
hofstra,63,-110,+17,20131119,3,away
richmond,74,-110,-17,20131119,3,home
detroit,71,-110,+3.5,20131119,4,away
james madison,67,-110,-3.5,20131119,4,home
texas-arlington,76,-110,+27.5,20131119,5,away
kentucky,105,-110,-27.5,20131119,5,home
la salle,72,-110,+3,20131119,6,away
penn st,79,-110,-3,20131119,6,home
memphis,80,-110,+9.5,20131119,7,away
oklahoma st,101,-110,-9.5,20131119,7,home
depaul,80,\N,\N,20131119,8,away
wis-milwaukee,71,\N,\N,20131119,8,home
colorado st,74,\N,\N,20131119,9,away
texas-el paso,82,\N,\N,20131119,9,home
arizona st,86,-110,-5,20131119,10,away
unlv,80,-110,+5,20131119,10,home
elon university,85,-110,-4.5,20131119,11,away
canisius,86,\N,\N,20131119,11,home
stillman,72,\N,\N,20131119,12,away
mcneese st,81,\N,\N,20131119,12,home
georgia st,58,-110,+7,20131119,13,away
alabama,75,\N,\N,20131119,13,home
st bonaventure,70,-110,-7,20131119,14,away
